"Kimlik","Tür","Stok kodu (SKU)","İsim","Yayımlanmış","Öne çıkan?","Katalogda görünürlük","Kısa açıklama","Açıklama","İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı","Stokta?","Stok","Düşük stok miktarı","Yok satmaya izin?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri yorumlarına izin?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat","Kategoriler","Etiketler","Gönderim sınıfı","Görseller","İndirme sınırı","İndirme sona erme günü","Ebeveyn","Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni","Konum","İndirme 1 ismi","İndirme 1 URL'si","Nitelik 1 ismi","Nitelik 1 değer(ler)i","Nitelik 1 görünür","Nitelik 1 genel","Nitelik 1 varsayılan","Nitelik 2 ismi","Nitelik 2 değer(ler)i","Nitelik 2 görünür","Nitelik 2 genel","Nitelik 2 varsayılan"
11,"simple, downloadable, virtual","WOO-SINGLE-1","Woo Tekli # 1",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,3,3,"Müzik, Müzik > Tekliler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_4_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_4_flat.jpg","-1","-1",,,,,,,0,"Song #1","https://woocommerce.files.wordpress.com/2017/06/woo-single-1.ogg",,,,,,,,,,
12,"simple, downloadable, virtual","WOO-SINGLE-2","Woo Tekli # 2",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,2,3,"Müzik, Müzik > Tekliler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_6_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_6_flat.jpg",10,90,,,,,,,0,"Song #2","https://woocommerce.files.wordpress.com/2017/06/woo-single-2.ogg",,,,,,,,,,
13,"simple, virtual","WOO-ALBUM-1","Woo Albüm # 1",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,9,9,"Müzik > Albümler, Müzik",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_1_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_1_flat.jpg",,,,,,,,,0,,,,,,,,,,,,
14,"simple, virtual","WOO-ALBUM-2","Woo Albüm # 2",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,9,9,"Müzik > Albümler, Müzik",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_2_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_2_flat.jpg",,,,,,,,,0,,,,,,,,,,,,
15,"simple, virtual","WOO-ALBUM-3","Woo Albüm # 3",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,9,9,"Müzik > Albümler, Müzik",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_3_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_3_flat.jpg",,,,,,,,,0,,,,,,,,,,,,
16,"simple","T-SHIRT-WOO-LOGO","Woo Logosu",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,5,,0,0,,,,,1,,18,20,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_back.jpg",,,,,"HOODIE-WOO-LOGO",,,,0,,,,,,,,,,,,
17,"simple","HOODIE-WOO-LOGO","Woo Logosu",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,35,35,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_6_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_6_back.jpg",,,,,,"T-SHIRT-WOO-LOGO",,,0,,,,,,,,,,,,
18,"simple","T-SHIRT-WOO-NINJA","Woo Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,20,20,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_back.jpg",,,,,"HOODIE-WOO-NINJA","T-SHIRT-HAPPY-NINJA, T-SHIRT-NINJA-SILHOUETTE",,,0,,,,,,,,,,,,
19,"simple","HOODIE-WOO-NINJA","Woo Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,35,35,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_back.jpg",,,,,,"T-SHIRT-WOO-NINJA",,,0,,,,,,,,,,,,
20,"simple","T-SHIRT-PREMIUM-QUALITY","Üstün kaliteli",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,20,20,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg",,,,,,,,,0,,,,,,,,,,,,
21,"variable","T-SHIRT-SHIP-YOUR-IDEA","Fikrini Gönder",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,,,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg",,,,,"HOODIE-SHIP-YOUR-IDEA",,,,0,,,"Color","Black, Green",0,1,,,,,,
